topic,term,beta
1,providing,0.04612347902265095
1,services,0.034306751693315984
1,technology,0.033798591634230025
1,provide,0.01786518744042468
1,learn,0.01501667356211508
1,people,0.015015162323915393
1,company,0.013085342298524772
1,global,0.012802156153010958
1,day,0.01253295908759269
1,system,0.012358964477089139
2,energy,0.029938246078484734
2,service,0.029233454761432045
2,technology,0.027491415688520867
2,organizations,0.02293982318518675
2,clients,0.020369180007346572
2,services,0.019645304542864103
2,innovative,0.01821396062660299
2,platform,0.01738422686147319
2,brands,0.01689198817753931
2,career,0.013146900409153678
3,solutions,0.04993471839622421
3,company,0.038275339616917474
3,community,0.028566329141535944
3,medical,0.021687247923514705
3,care,0.017957268422196394
3,team,0.015966320169278583
3,digital,0.013968923496348432
3,health,0.013804676932881736
3,people,0.013231159792673457
3,experience,0.0119933147679708
4,industry,0.05919560483565896
4,customers,0.05272829095178734
4,visit,0.03149498603546421
4,staffing,0.030470485135284553
4,services,0.030154382337997554
4,team,0.01671576232093696
4,including,0.014234157110351435
4,access,0.01379747695263497
4,business,0.01259124435344327
4,management,0.012527037747288885
5,service,0.03034264984284812
5,people,0.025694920276434174
5,provide,0.024921885313782248
5,quality,0.020566112421351125
5,clients,0.01898709790255985
5,mission,0.015867999229494133
5,time,0.01550629826565286
5,digital,0.015162725608561793
5,global,0.014609377973594696
5,employees,0.013786620103332243
6,services,0.06146438808678476
6,business,0.04176046058655109
6,quality,0.029742119004804415
6,solutions,0.02668885096892032
6,management,0.023914525102143844
6,teams,0.0166504774946436
6,wide,0.01450798528016869
6,creating,0.014235628387584564
6,online,0.013274386963566557
6,top,0.013199386967086772
7,companies,0.051420799734600106
7,business,0.034409818845794006
7,service,0.02297958425849932
7,care,0.022298853487633406
7,range,0.021197736353343582
7,services,0.01964729891155283
7,team,0.014355599036476903
7,products,0.013376634806702214
7,success,0.012075106961300283
7,global,0.011580379012188528
8,company,0.030100544360994467
8,care,0.026856528667731118
8,businesses,0.02426559643821413
8,clients,0.023637767267846298
8,offers,0.020791590531349734
8,health,0.01858614936185125
8,products,0.013863682991149056
8,planning,0.012916176728391193
8,employees,0.012702195805237982
8,experiences,0.012407354348586688
9,leading,0.046178029162534245
9,professionals,0.02384897660045177
9,approach,0.01718124330917812
9,opportunities,0.01635234371760358
9,health,0.013947041887617943
9,focused,0.01352788929788343
9,enterprise,0.013160637219325942
9,resources,0.012531298708821305
9,including,0.01231803187667112
9,agency,0.01181977502989968
10,solutions,0.04420440882881383
10,expertise,0.019786106764251375
10,healthcare,0.018265016317513157
10,company,0.017949138532145196
10,investment,0.01685516336075566
10,improve,0.016307434733835856
10,create,0.014922989300119554
10,services,0.014727396775041486
10,development,0.013697634513378245
10,construction,0.011778529388947976
